"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Studium możliwości wykorzystania akceleratora liniowego ESS do wytwarzania intensywnej wiązki neutrin umożliwiającej odkrycie i pomiar łamania symetrii CP";"dr hab. PIOTR JACEK CUPIAŁ";"1.01.2018";"2021-12-31";"
    •  środki Komisji Europejskiej

";2999018;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty realizowane w ramach Horyzont 2020 (ERC, działanie Research & Innovation Action, Innovation Action, działania Marie Skłodowskiej-Curie)";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Mechanicznej i Robotyki

";"
    •  Aleja Adama Mickiewicza 30/B-2, Kraków

";"W trakcie realizacji";
"Spatiotemporal photon correlation measurements for quantum metrology and super-resolution microscopy.";"dr Radosław Józef Łapkiewicz";"2018-01-01";"2020-12-31";"
    •  Europejski Fundusz Rozwoju Regionalnego (EFRR)

";1946664;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"1.Poszukiwanie wspólnych mechanizmów dziedziczenia płodności roślin z cytoplazmą CMS-C oraz z cytoplazmą CMS-Pampa 2.Genetyczne podłoże męskiej sterylności pszenżyta z różnymi cytoplazmami oraz możliwość wykorzystania badanych cytoplazm do tworzenia systemów CMS u pszenicy 3.Badania wewnętrznej struktury genetycznej odmian żyta oraz dziedzicznego podłoża efektu heterozji";"dr hab. Stefan Andrzej Stojałowski";"2018-01-01";"2018-12-31";"
    •  inna (Ministerstwo Rolnictwa i Rozwoju Wsi)

";531;"Inne programy";"Inny program (badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Kształtowania Środowiska i Rolnictwa

";"
    •  Juliusza Słowackiego 17, Szczecin

";"W trakcie realizacji";
"Ochronne farby proszkowe z konkurencyjnych cenowo surowców pochodzenia biologicznego: synteza składników, komponowanie i ocena właściwości powłok na podłożu stalowym";"dr Szymon Piotr Kugler";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";"1,2 mln";"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"LIDER";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Technologii i Inżynierii Chemicznej

";"
    •  Piastów 42, Szczecin

";"W trakcie realizacji";
"Innowacje technologiczne oraz system monitoringu, prognozowania i operacyjnego planowania działań melioracyjnych dla precyzyjnego gospodarowania wodą w skali obiektu melioracyjnego. Akronim: INOMEL";"prof. Leszek Maria Łabędzki";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";9349511;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"BIOSTRATEG";"
    •  Instytut Technologiczno-Przyrodniczy
    •  Agrocom Polska. Oprogramowanie i nowe możliwości dla rolnictwa. Jerzy Koronczok
    •  GEOFABRYKA Sp. z o.o.
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Budownictwa i Inżynierii Środowiska
    •  Uniwersytet Przyrodniczy we Wrocławiu; Wydział Inżynierii Kształtowania Środowiska i Geodezji
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Inżynierii Środowiska i Gospodarki Przestrzennej

";"
    •  Aleja Hrabska 3, Falenty
    •  Strzelecka 47, Żędowice
    •  Prosta 8/2, Toruń
    •  Nowoursynowska 166/Bud.33, Warszawa
    •  Grunwaldzka 55, Wrocław
    •  Wojska Polskiego 28/116, Poznań

";"W trakcie realizacji";
"Regionalne efekty ekonomiczne z turystyki w parkach narodowych na przykładzie Drawieńskiego Parku Narodowego (akronim: ReeT) Regionalwirtschaftliche Effekte des Tourismus in Nationalparken an Beispiel von Drawa Nationalpark (Akronym: ReeT)";"dr Wojciech Zbaraszewski";"2018-01-01";"2019-02-28";"
    •  środki UE

";84924;"Projekt w ramach programu Unii Europejskiej";"Inny program (Program Współpracy Interreg V A Meklemburgia-Pomorze Przednie/Brandenburgia/Polska)";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Ekonomiczny

";"
    •  Żołnierska 47, Szczecin

";"W trakcie realizacji";
"Wprowadzenie do praktyki chirurgicznej nowych technologii do rekonstrukcji i regeneracji uszkodzonych tkanek w obszarze twarzoczaszki";"prof. dr hab. Jarosław Stanisław Markowski";"2018-01-01";"2020-12-31";"
    •  środki UE

";6294057;65;"Projekt w ramach programu ramowego Unii Europejskiej";"Inny program (Program Operacyjny Inteligentny Rozwój 2014-2020)";"
    •  Śląski Uniwersytet Medyczny w Katowicach; Wydział Nauk o Zdrowiu w Katowicach
    •  Instytut Metali Nieżelaznych
    •  Kardio-Med Silesia, Zabrze
    •  SOLVEERE SP Z O O

";"
    •  Medyków 12, Katowice
    •  Józefa Sowińskiego 5, Gliwice
    •  Wolności 182, Zabrze
    •  Wojska Polskiego 8, Sosnowiec

";"W trakcie realizacji"
"Monoprofilowe Centrum Symulacji Medycznej - nowa jakość kształcenia na kierunku Pielęgniarstwo w PSW w Białej Podlaskiej";"Renata Karwacka";"2018-01-01";"2020-12-31";"
    •  środki UE

";;"Projekt w ramach programu Unii Europejskiej";"Inny program (PO WER)";"
    •  Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej

";"
    •  Sidorska 95/97, Biała Podlaska

";"W trakcie realizacji";
"Wspieranie procesu szkolenia zawodników kadry narodowej w przygotowaniach do igrzysk olimpijskich,igrzyska paraolimpijskich, igrzysk głuchych oraz mistrzostw świata i Europy w roku 2018 - działalność Zespołu Metodycznego";"dr Urszula Włodarczyk";"2018-01-01";"2018-12-31";"
    •  budżet - inne resorty

";1027715;71;"Inne programy";"Inny program (Zadanie publiczne ze środków budzetu państwa)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji"
"Aktualne wyzwania bioetyczne w obszarze zdrowia publicznego";"prof. dr hab. Maria Nowacka";"2018-01-01";"2019-12-31";"
    •  budżet - MNiSW

";7400;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Medycyny Wsi im. Witolda Chodźki

";"
    •  Kazimierza Jaczewskiego 2, Lublin

";"W trakcie realizacji";
"Ocena czystości mikrobiologicznej powietrza w wybranych pomieszczeniach części naukowej i medycznej Instytutu Medycyny Wsi w Lublinie";"dr hab. Angelina Magdalena Wójcik-Fatla";"2018-01-01";"2020-12-31";"
    •  budżet - MNiSW

";41600;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Medycyny Wsi im. Witolda Chodźki

";"
    •  Kazimierza Jaczewskiego 2, Lublin

";"W trakcie realizacji";
"Dynamika zmiany parametrów biochemicznych i psychologicznych w cyklu usprawniania pacjentów z chorobą zwyrodnieniową stawów w Klinice Rehabilitacji z Pododdziałem Rehabilitacji Neurologicznej IMW w Lublinie";"dr Tomasz Saran";"2018-01-01";"2019-12-31";"
    •  budżet - MNiSW

";9309;72;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Medycyny Wsi im. Witolda Chodźki

";"
    •  Kazimierza Jaczewskiego 2, Lublin

";"W trakcie realizacji"
"Uwarunkowania występowania zaburzeń nastroju u kobiet w okresie około i pomenopauzalnym";"prof. dr hab. Iwona Bojar";"2018-01-01";"2019-12-31";"
    •  budżet - MNiSW

";46000;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Medycyny Wsi im. Witolda Chodźki

";"
    •  Kazimierza Jaczewskiego 2, Lublin

";"W trakcie realizacji";
"Stan zdrowia mieszkańców Polski w latach 2011-2017 w zależności od ich miejsca zamieszkania na podstawie potencjalnie utraconych lat życia";"prof. dr hab. Andrzej Szpak";"2018-01-01";"2019-12-31";"
    •  budżet - MNiSW

";14100;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Medycyny Wsi im. Witolda Chodźki

";"
    •  Kazimierza Jaczewskiego 2, Lublin

";"W trakcie realizacji";
"Mapa Mikrobiomu Polski";"dr Anna Philips";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";6546285;88;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk
    •  Ardigen S.A.

";"
    •  Zygmunta Noskowskiego 12/14, Poznań
    •  prof. Michała Bobrzyńskiego 14, Kraków

";"W trakcie realizacji"
"Nowe technologie eko-energetyczne dla zrównoważonego rozwoju obszarów wiejskich i nisko emisyjnych produkcji rolnej";"prof. dr hab. Jan Feliks Kiciński";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";17132251;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"BIOSTRATEG";"
    •  Instytut Maszyn Przepływowych im. Roberta Szewalskiego Polskiej Akademii Nauk
    •  BLUETOMATION Sp. z o.o.
    •  EcoSolar Dorota Półtorak
    •  EKOTECHLAB MAREK KLEIN
    •  ENKI Sp. z o.o.
    •  ForéF - Jakub Fajfer
    •  IMPLASER Innovative Technologies Sp. z o.o.
    •  Instytut Energii Sp. z o.o.
    •  Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy
    •  QUERCUS Sp. z o.o.
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Inżynierii Produkcji
    •  Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Kształtowania Środowiska i Rolnictwa

";"
    •  gen. Józefa Fiszera 14, Gdańsk
    •  Antoniego Abrahama 1A, Gdańsk
    •  Mahatmy Gandhiego 19/33, Warszawa
    •  Henryka Siemiradzkiego 2A, Gdańsk
    •  Igołomska 21, Kraków
    •  Kryształowa 17, Gdańsk
    •  gen. Józefa Fiszera 14, Gdańsk
    •  Leonarda Turkowskiego 11/19, Olsztyn
    •  Czartoryskich 8, Puławy
    •  Jana Pawła II 21, Pasym
    •  Nowoursynowska 164/Bud.21, Warszawa
    •  Michała Oczapowskiego 8, Olsztyn

";"W trakcie realizacji";
"Wspieranie procesu szkolenia zawodników kadry narodowej w przygotowaniach do igrzysk olimpijskich, igrzysk paraolimpijskich, igrzysk głuchych oraz mistrzostw świata i Europy w roku 2018 - działalność Zespołu Naukowo-Badawczego";"dr Piotr Ryszard Żmijewski";"2018-01-01";"2018-12-31";"
    •  budżet - inne resorty

";572284;27;"Inne programy";"Inny program (Realizacja zadania publicznego ze środków budzetu państwa)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji"
"Praktycznie z WZiEU";"dr hab. PRZEMYSŁAW TOMASZ PLUSKOTA";"2018-01-01";"2019-12-31";"
    •  budżet - NCBR

";;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"Inny program (Program Operacyjny Wiedza Edukacja Rozwój)";"
    •  Uniwersytet Szczeciński; Wydział Zarządzania i Ekonomiki Usług

";"
    •  Cukrowa 8, Szczecin

";"W trakcie realizacji";
"THING - subTerranean Haptic INvestiGator";"dr hab. RADOSŁAW ZIMROZ";"2018-01-01";"2021-03-30";"
    •  środki Komisji Europejskiej

";17141793;85;"Projekt w ramach programu ramowego Unii Europejskiej";"Inny program (HORYZONT 2020)";"
    •  KGHM CUPRUM sp. z o.o. Centrum Badawczo-Rozwojowe

";"
    •  gen. Władysława Sikorskiego 2-8, Wrocław

";"W trakcie realizacji"
"Continued education program in rock engineering for deep mines";"inż. MAŁGORZATA RATAJCZYK";"2018-01-01";"2020-12-31";"
    •  środki Komisji Europejskiej

";1445420;74;"Inne programy";"Inny program (KIC EIT Raw Materials)";"
    •  KGHM CUPRUM sp. z o.o. Centrum Badawczo-Rozwojowe

";"
    •  gen. Władysława Sikorskiego 2-8, Wrocław

";"W trakcie realizacji"
"Emitujące w wąskich pasmach luminofory do diod świecących do oświetleń i podświetleń (Narrow Band Phosphors for the Application in Lighting and Backlighting of Light-Emitting Diodes)";"prof. dr hab. Marek Grinberg";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";915898;"Inne programy";"Inny program (Polsko-Tajwńska Współpraca Gospodarcza)";"
    •  Uniwersytet Gdański; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Wita Stwosza 57, Gdańsk

";"W trakcie realizacji";
"Radzieckie magazyny głowic atomowych w Polsce. Pomiędzy dziedzictwem a zapomnieniem. Perpsektywa archeologiczna";"dr GRZEGORZ KIARSZYS";"2018-01-01";"2019-12-31";"
    •  inna (Narodowy Instytut Dziedzictwa)

";;"Inne programy";"Inny program (Ochrona zabytków archeologicznych 2018)";"
    •  Uniwersytet Szczeciński; Wydział Humanistyczny

";"
    •  Krakowska 71-79, Szczecin

";"W trakcie realizacji";
"Kulturowe oblicza życia i śmierci - nieinwazyjne badania nad osadnictwem pradziejowym w lasach Bagicza";"dr Marta Irena Chmiel-Chrzanowska";"2018-01-01";"2019-12-31";"
    •  inna (Narodowy Instytut Dziedzictwa)

";;"Inne programy";"Inny program (Ochrona zabytków archeologicznych 2018)";"
    •  Uniwersytet Szczeciński; Wydział Humanistyczny

";"
    •  Krakowska 71-79, Szczecin

";"W trakcie realizacji";
"Realizacja zadania publicznego w obszarze procesu szkolenia w ramach programu dofinansowania zadań związanych z organizowaniem i prowadzeniem działalności wspierającej i kontrolnej sportu młodzieżowego ze środków Funduszu Rozwoju Kultury Fizycznej w 2018 roku.";"Lech Salamonowicz";"2018-01-01";"2018-12-31";"
    •  budżet - inne resorty

";619349;41;"Inne programy";"Inny program (Program dofinansowania zadań związanych z organizowaniem i prowadzeniem działalności wspierającej i kontrolnej sportu młodzieżowego ze środków Funduszu Rozwoju Kultury Fizycznej w 2018 roku.)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji"
"Realizacja zadania publicznego w obszarze badawczym i monitoringu w ramach programu dofinansowania zadań związanych z organizowaniem i prowadzeniem działalności wspierającej i kontrolnej sportu młodzieżowego ze środków Funduszu Rozwoju Kultury Fizycznej w 2018 roku.";"dr Piotr Ryszard Żmijewski";"2018-01-01";"2018-12-31";"
    •  budżet - inne resorty

";1180650;59;"Inne programy";"Inny program (Program dofinansowania zadań związanych z organizowaniem i prowadzeniem działalności wspierającej i kontrolnej sportu młodzieżowego ze środków Funduszu Rozwoju Kultury Fizycznej w 2018 roku.)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji"
"Promowanie JEDNO ZDROWIE w Europie poprzez wspólne działania w zakresie zoonoz pokarmowych, oporności na środki przeciwdrobnoustrojowe i pojawiające się zagrożenia mikrobiologiczne (One Health EJP)";"prof. dr hab. Jacek Michał Kuźmak";"2018-01-01";"2022-12-31";"
    •  środki własne
    •  środki Komisji Europejskiej

";5506109;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty realizowane w ramach Horyzont 2020 (ERC, działanie Research & Innovation Action, Innovation Action, działania Marie Skłodowskiej-Curie)";"
    •  Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy

";"
    •  Partyzantów 57, Puławy

";"W trakcie realizacji";
"Aerozole środowiskowe i promieniotwórcze na stanowiskach pracy. Metoda wyznaczania rozkładów ziarnowych aerozoli promieniotwórczych na podstawie rozkładów aerozoli środowiskowych";"dr hab. Krystian Wiktor Skubacz";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";70 000,00 zł;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Główny Instytut Górnictwa

";"
    •  Gwarków 1, Katowice

";"W trakcie realizacji";
"Opracowanie metody wydruku próbek do badań wytrzymałościowych z wykorzystaniem drukarki 3D";"mgr, inż. Mateusz Jan Galeja";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";95 000,00 zł;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Główny Instytut Górnictwa

";"
    •  Gwarków 1, Katowice

";"W trakcie realizacji";
"Analiza wpływu terenów zurbanizowanych na postrzeganie klimatu akustycznego na terenach rekreacyjnych";"mgr inż. Magdalena Ewa Miterska";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";60 000,00 zł;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Główny Instytut Górnictwa

";"
    •  Gwarków 1, Katowice

";"W trakcie realizacji";
"Wzajemna zależność pomiędzy transportem białek mitochondrialnych i komórkową homeostazą białek";"prof. dr hab. Agnieszka Małgorzata Chacińska";"2018-01-01";"2021-04-20";"
    •  budżet - NCN

";4271581;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MAESTRO; edycja 7";"
    •  Uniwersytet Warszawski; Centrum Nowych Technologii UW
    •  Międzynarodowy Instytut Biologii Molekularnej i Komórkowej

";"
    •  Stefana Banacha 2C, Warszawa
    •  Księcia Trojdena 4, Warszawa

";"W trakcie realizacji";
"WFI (WIDE FIELD IMSAGER) Na Pokładzie Satelity ATHENA. Projekt I Wykonanie Dwóch Podsystemów: Filter Wheel Assembly (FWA)( Zespół Koła Z Filtrami) Oraz Power Distribution Unit(PDU) - System Rozdziału Mocy";"dr hab. Mirosław Rataj";"2018-01-01";"2019-09-30";"
    •  środki UE

";2582522;8;"Inne programy";"Inny program (Prodex program ESA)";"
    •  Centrum Badań Kosmicznych Polskiej Akademii Nauk

";"
    •  Bartycka 18A, Warszawa

";"W trakcie realizacji"
"The investigations on ice algae and phytoplankton in Svalbard archipelago";"dr hab. Józef Wiktor";"2018-01-01";"2018-12-31";"
    •  inne środki zagraniczne

";34744;"Projekt finansowany przez zagraniczną instytucję publiczną, powołaną w celu wspierania działalności naukowej lub badawczo-rozwojowej";"Inny program (The investigations on ice algae and phytoplankton in Svalbard archipelago)";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Katalizatory fotoredoks o silnych właściwościach redukujących i ich zastosowanie w reakcjach indukowanych światłem widzialnym";"dr Maciej Łukasz Giedyk";"2018-01-01";"2019-06-30";"
    •  budżet - MNiSW

";322200;"Projekt finansowany przez ministra właściwego do spraw nauki";"Mobilność Plus; edycja 5";"
    •  Instytut Chemii Organicznej Polskiej Akademii Nauk

";"
    •  Marcina Kasprzaka 44/52, Warszawa

";"W trakcie realizacji";
"Syntetyczne makrocykliczne peptydy imitujące rozpuszczalne oligomery amyloidu beta";"dr Michał Wierzbicki";"2018-01-01";"2020-02-29";"
    •  budżet - MNiSW

";362000;"Projekt finansowany przez ministra właściwego do spraw nauki";"Mobilność Plus; edycja 5";"
    •  Instytut Chemii Organicznej Polskiej Akademii Nauk

";"
    •  Marcina Kasprzaka 44/52, Warszawa

";"W trakcie realizacji";
"Grenzüberschreitender Einsatz von Unbemannten Flugsystemen bei der Feuerwehr (GEvUFF)/Zastosowanie systemów bezzałogowych statków powietrznych w działaniach transgranicznych – możliwości zastosowania przez Straż pożarną (GEvUFF)”";"dr hab. Justyna Elżbieta Patalas-Maliszewska";"2018-01-01";"2018-09-30";"
    •  inne środki zagraniczne

";;"Projekt w ramach programu Unii Europejskiej";"Inny program (Program Współracy Interreg Va Brandenurgia-Polska 2014-2020)";"
    •  Brandenburgische Technische Universität Cottbus
    •  Uniwersytet Zielonogórski; Wydział Mechaniczny

";"
    •  
    •  Profesora Zygmunta Szafrana 4, Zielona Góra

";"W trakcie realizacji";
"Opracowanie metod analizy polimorfizmów w genomie buraka cukrowego";"prof. dr hab. Dariusz Henryk Grzebelus";"2018-01-01";"2018-12-31";"
    •  inna (MRiRW)

";207000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej )";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Analiza stanu naprężenia i zniszczenia w elementach maszyn wykonanych z materiałów izotropowych i kompozytowych.";"dr hab. Marek Andrzej Barski";"2018-01-01";"2018-12-30";"
    •  budżet - MNiSW

";38460;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Mechaniczny

";"
    •  Jana Pawła II 37, Kraków

";"W trakcie realizacji";
"Określenie czynników decydujących o zimowaniu pszenicy ozimej i pszenżyta ozimego w warunkach polskich";"prof. dr hab. Marcin Karol Rapacz";"2018-01-01";"2018-12-31";"
    •  inna (Minister Rolnictwa i Rozwoju Wsi)

";135000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Rolniczo-Ekonomiczny

";"
    •  Aleja Adama Mickiewicza 21, Kraków

";"W trakcie realizacji";
"Wykorzystanie metod biotechnologicznych do poszerzenia zmienności genetycznej warzyw kapustnych";"prof. dr hab. Adela Maria Adamus";"2018-01-01";"2018-12-31";"
    •  inna (Minister Rolnictwa i Rozwoju Wsi)

";198000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Analiza czynników genetycznych związanych z przywracaniem płodności buraka ćwikłowego";"dr hab. Marek Paweł Szklarczyk";"2018-01-01";"2018-12-31";"
    •  inna (Minister Rolnictwa i Rozwoju Wsi)

";99000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Opracowanie i wykorzystanie wysokowydajnych technik selekcji genomowej w doskonaleniu warzyw";"prof. dr hab. Dariusz Henryk Grzebelus";"2018-01-01";"2018-12-31";"
    •  inna (Minister Rolnictwa i Rozwoju Wsi)

";198000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Identyfikacja genomów odpowiedzialnych za przywracanie płodności i samoniezgodności u wybranych roślin warzywnych";"dr hab. Marek Paweł Szklarczyk";"2018-01-01";"2018-12-31";"
    •  inna (Minister Rolnictwa i Rozwoju Wsi)

";135000;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Nowatorska technologia izolacji wibroakustycznej podłóg";"dr Alicja Stanisława Kowalska-Koczwara";"2018-01-01";"2020-11-30";"
    •  budżet - NCBR

";2487778;44;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Inżynierii Lądowej
    •  Taumer Sp. z o.o.
    •  Tines S.A.

";"
    •  Warszawska 24, Kraków
    •  Królowej Jadwigi 192, Kraków
    •  Ciepłownicza 23, Kraków

";"W trakcie realizacji"
"Dotacja podmiotowa na utrzymanie potencjału badawczego";"prof. dr hab. Bogdan Wolko";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Genetyki Roślin Polskiej Akademii Nauk

";"
    •  Strzeszyńska 34, Poznań

";"W trakcie realizacji";
"Narodowa Baza Talentów - elektroniczne narzędzie gromadzenia i analizy danych populacyjnych dotyczących stanu kondycji fizycznej dzieci i młodzieży";"Radosław Sarnecki";"2018-01-01";"2018-12-31";"
    •  budżet - inne resorty

";400000;"Inne programy";"Inny program (Zadanie publiczne ukierunkowane na wzmocnienie upowszechniania i promocji sportu oraz dbałość o kondycję zdrowotną dzieci i młodzieży finansowane ze środków budżetu państwa)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji";
"Nowe ceramiczne materiały o kontrolowanej mikrostrukturze przeznaczone do zastosowań wysokotemperaturowych w procesach przemysłowych";"dr Barbara Katarzyna Lipowska";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Nowe rozwiązania materiałowe dla przedsięwzięć racjonalizujących zużycie energii i wspierających działania proekologiczne";"mgr inż. Andrzej Śliwa";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";160000;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Innowacyjne, ogniotrwałe materiały monolityczne optymalizujące pracę urządzeń grzewczych w wybranych gałęziach przemysłu";"mgr inż. Izabela Kamila Majchrowicz";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Analiza perspektywicznych kierunków badawczych w aspekcie potrzeb przemysłu";"mgr inż. Jerzy Witek";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Opracowanie i doskonalenie metod badań materiałów ceramicznych";"dr hab. Jacek Podwórny";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Specjalne metody badania jakości surowców i materiałów zasadowych zawierających chrom do wykorzystania w warunkach przemysłowych";"dr Katarzyna Elżbieta Stec";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Działalność Ośrodka Informacji Naukowo-Technicznej i Ekonomicznej";"mgr inż. Maria Nosek";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Instytut Ceramiki i Materiałów Budowlanych

";"
    •  Postępu 9, Warszawa

";"W trakcie realizacji";
"Ocena wpływu adiuwantów i siarczanu cynku na działanie herbicydów sulfonylomocznikowych";"Violetta mgr Szuba";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
